Treatment;Replicate;Sample;Compound;Peak;RT;Area;Height;OD;Area_norm;Area_fold;Area_foldM
P5_B1;1;SCCe0162;SurfactinC13;1;8,587;594520,27;175532,58;1,57;378675,3312;1;1
P5_B1;2;SCCe0163;SurfactinC13;1;8,591;598037,7;175857,92;1,43;418208,1818;1;1
P5_B1;3;SCCe0164;SurfactinC13;1;8,584;726480,75;223735,27;1,33;546226,1278;1;1
P5_B1.749;1;SCCe0165;SurfactinC13;1;8,584;726480,75;223735,27;1,74;417517,6724;0,932576894;0,998348886
P5_B1.749;2;SCCe0166;SurfactinC13;1;8,569;2376088,98;485224,71;2,82;842584,7447;1,882016298;2,014749547
P5_B1.749;3;SCCe0167;SurfactinC13;1;8,579;752984,28;235785,01;1,75;430276,7314;0,961075816;1,028857756
P5_B1.757;1;SCCe0168;SurfactinC13;1;8,571;1907310,55;433078,07;1,94;983149,768;2,195985506;2,350862108
P5_B1.757;2;SCCe0169;SurfactinC13;1;8,578;1041143,45;292179,04;1,6;650714,6563;1,453450939;1,555958694
P5_B1.757;3;SCCe0170;SurfactinC13;1;8,581;2034785,02;464958,3;2,28;892449,5702;1,993395497;2,133984004
P5_B1.763;1;SCCe0171;SurfactinC13;1;8,587;984459,55;297150,74;1,57;627044,2994;1,400580296;1,499359235
P5_B1.763;2;SCCe0172;SurfactinC13;1;8,583;1642730,1;390527,09;1,92;855588,5938;1,911061989;2,045843747
P5_B1.763;3;SCCe0173;SurfactinC13;1;8,581;1721179,43;389496,93;1,74;989183,5805;2,209462765;2,365289881
P5_B1.764;1;SCCe0174;SurfactinC13;1;8,834;1144669,12;199647,71;1,74;657855,8161;1,469401595;1,573034304
P5_B1.764;2;SCCe0175;SurfactinC13;1;8,596;978528,12;251130,75;1,35;724835,6444;1,619009251;1,733193361
P5_B1.764;3;SCCe0176;SurfactinC13;1;8,583;825457,04;229646,21;1,52;543063,8421;1,212999652;1,298549062
P5_B1.FULL;1;SCCe0177;SurfactinC13;1;8,586;1132304,12;292372,34;1,51;749870,2781;1,674927173;1,793055016
P5_B1.FULL;2;SCCe0178;SurfactinC13;1;8,595;2052358,57;448900,69;2,13;963548,6244;2,152203949;2,303992763
P5_B1.FULL;3;SCCe0179;SurfactinC13;1;8,594;986244,55;261726,58;1,64;601368,628;1,343230537;1,437964761