Syncom ;P5_B1;sfp;srfAC;ppsC
8118705,687;8436315,452;6508437,369;8960299,705;5497677,023
3725325,147;3051557,727;3234620,797;2772281,968;2945008,968
3179761,006;3327371,337;3033153,649;3187521,309;3149037,822
1235131,7;1172388,587;1189301,673;1449844,618;1596497,965
1068759,595;1183642,398;818322,6143;836753,3992;1316536,592
1052122,914;1063542,849;1205578,832;1035448,504;1456419,069
1225583,554;982936,4848;807388,362;644584,1139;790079,13
2446633,347;3107553,556;2500491,263;3037715,999;2799955,186
284215,4932;822934,4758;660281,1136;825639,8996;665514,4304
430111,4496;675721,2704;1016135,389;650989,6016;851986,1632
826334,1116;886159,0801;1578425,912;812932,2948;1587406,382
124706,4391;655011,3608;534777,6184;488721,0784;382572,8315
98453,95442;295369,6347;384395,4233;407379,8363;446894,9878
42494,4869;45605,98223;71787,9598;69059,52396;102837,2895
30460,4712;25336,50282;31540,1189;30491,85238;25607,52608
126894,3727;342370,1015;99501,85978;118543,0311;439699,7848
4267,309983;12001,51706;15286,49334;8152,036832;20229,19591
36355,77827;94260,82202;143879,1856;97962,04434;178078,5805
682863,1077;1032882,392;1329602,718;1059273,471;2004802,216
8438,811303;3476,836068;9669,55683;8928,862162;4361,669474
2552782,039;3347160,731;2975768,084;3020590,899;3176069,709
3264978,576;3930467,964;4479679,881;4517849,771;4358056,165
398850,058;505094,7275;433408,6916;287413,676;174924,649
1628667,994;557646,9731;980937,2234;918864,6558;532080,1801
407193,9406;526896,0797;449489,4437;293869,7732;186558,3908
374347,1647;507558,035;439458,165;288658,5185;186767,1848
395205,7143;315028,5284;445015,7894;299613,9453;665909,6252
562212,282;483966,1014;518494,0876;319280,6228;432506,1557
87797,209;96169,05779;124403,2303;100924,1426;148259,6814
52702,47201;129902,8753;144629,4501;50555,81014;84311,20848
75306,95151;331702,8384;119680,8322;170930,5359;84819,85375
44536,25116;140205,6012;91099,20629;79162,76158;115439,4872
37186,06296;20427,17571;28591,52671;30030,9842;15307,8021
8004,781452;13513,37798;6142,983138;6793,419837;5022,021455
12749,4185;12363,79713;16036,72311;25029,55464;21264,36376
9527,254823;5158,316382;15135,51015;4572,227253;8269,742199
13306,8819;9426,868736;11915,36326;14905,00319;14764,3727
6126,464373;3706,369138;6109,012925;3331,187453;6468,816804
3921,620562;33741,7998;15891,15616;92451,91078;104479,1943
965006,8955;1248973,736;1156194,556;1174760,048;889571,0915
165722,4264;237334,4396;40108,35268;516901,6545;310854,5682
71161,77321;51934,65013;49107,58896;64362,98864;53847,91026
2037766,465;2886631,107;2780526,049;3061899,392;4877297,674
11335386,28;2526705,802;11033333,33;10598364,54;3266028,141
99908,01395;2081450,682;31411,32532;1984,553108;2716424,569
10013,41371;2243484,968;1705103,233;2587917,805;3063056,193
1529098,184;982861,2201;1854338,828;2267346,611;1234564,54
352460,2783;503527,1545;307988,2947;530650,5341;382030,9642
25209,59693;88940,58685;125663,3535;132570,0242;147324,3361
153,6514501;88378,71273;0;0;116436,1351
0;14892,07789;78,68610413;0;20354,05955
1964,048065;1708,508942;2203,176803;2897,139673;2577,57745
8143,363235;2443682,885;1515,671593;0;2577081,454
7849,257235;2861614,948;1992003,266;3913619,462;4435382,232
1975,309932;646616,926;477,143194;0;647052,5264
1155,822198;1147787,203;473,5937887;0;1053679,789
1787,66141;905657,894;0;0;845131,3238
850,1472034;57855,28739;34371,94351;45165,76478;45712,3399
208398,4587;126953,7714;337081,2655;127579,856;258094,1786
48732,06198;44378,57885;67364,69422;72941,99343;60013,91821
9533,997492;10857,57785;10876,78152;8284,296268;14475,4658
7115,270061;35861,68097;42534,49285;28376,89736;68742,12848
52062,95613;51492,04692;37768,5793;18224,11342;38032,7869
31,58669891;6903,645787;6386,295397;8931,957246;7507,814106
754,5446637;1325,526406;991,3796666;883,4284821;725,6178307
3669176,545;4427137,951;7156508,555;7593274,233;8431743,69
166854,1788;740518,3647;2142390,253;1330140,062;788869,1409
79,95083313;66084,29707;814,643148;0;49224,17278
41304,25072;76610,20667;43879,82442;66741,54236;62136,98612
14050,05183;16203,12324;15402,07603;26791,83572;27220,56739
810783,8201;742049,733;814500,1744;632645,8924;718595,7561
1554,802443;81526,00536;27905,08689;103337,4895;153879,1686
643,2868993;17093,14987;14340,61371;25560,16453;33524,92243
415075,8205;49988,49723;547323,3085;327163,9838;104159,3801
441877,347;410104,2627;505386,5894;418323,7034;575510,5223
8438,344454;66302,1818;68779,90707;162345,7741;264786,6143
10825,94778;10147,16036;10599,86374;18772,60431;7488,276538
7728,811908;9377,731861;13134,4912;11619,64915;6899,469579
2912,513487;14758,68314;12286,60742;28291,77392;20455,77141
3861005,454;7288994,752;7284246,138;5222087,33;8238706,445
7980,493215;405478,1751;230389,3869;929217,7008;415828,4801
222,382551;574688,624;373826,0796;683641,3081;833431,9543
547,2661395;16111,73698;46405,04401;10320,00449;112437,1619
466,3746216;3282,274738;7634,754793;3236,966033;7560,481551
3142,441422;5420,725042;8221,64921;7341,101531;8101,424989
451723,9681;296125,9397;365231,3293;363065,6216;282550,2403
73397,91655;108889,6109;97877,47443;98874,10892;85971,64079
2434,380648;725,9105571;3445,656854;1815,580118;1062,09212
377618,5394;396293,9392;424011,0737;619327,9989;259469,6937
1168776,911;1098197,445;1152243,117;1061942,581;1114578,576
1772,49975;28256,37995;23216,38432;11874,8927;83504,72067
7953,230911;25054,52694;29732,62146;27475,04344;32026,28946
4987599,033;5071290,066;5584721,516;5234223,242;4962185,405
7507727,804;20333333,33;21133333,33;23533333,33;16095514,71
989592,6131;885711,7501;1211127,261;913630,1786;1856025,957
635159,863;557100,2509;716092,1213;620257,8809;985991,263
382074,2682;312808,3095;430914,4151;314647,1321;500152,102
365751,8363;299204,431;385102,0941;284819,4726;460680,4813
303744,238;283622,0251;376974,5376;303264,2929;440924,7068
357285,3054;312437,5017;424476,8257;320421,9491;487965,2979
25781,52043;26393,35711;30379,12859;27577,70527;35915,90575
60449,95659;39819,40775;54135,80838;52174,2812;41656,36362
7020,611061;12279,72488;13143,5977;15692,52345;12506,70752
156,0836755;2664,378628;4009,211689;3397,745048;2645,741594
892,7777643;593,6958377;3148,991369;930,7832417;3493,948635
28730,82428;206228,6451;17772,25958;29145,40739;122711,6301
2807,259239;4567,012701;6451,580173;5457,992491;5786,184453
2369,723756;3760,097605;3761,96741;2639,234991;3981,875328
714,2648422;5083,505604;5123,499245;7336,235953;6123,943249
0;9805,086949;5398,085951;13362,59053;7563,078541
532,4419293;1998,731332;5208,303202;2414,009392;2134,953739
535340,3583;664092,4201;672048,4413;863801,2157;788548,1518
461706,8443;6958,182821;384906,7106;538441,2026;7778,469949
0;9250,609646;0;0;6266,958388
1923,1648;1016114,273;176,9747649;0;930549,2473
432,1296075;4764,629116;5104,389052;10629,64517;7311,938968
0;3601,624139;2750,548077;4263,310954;5499,780798
