Time;Treatment;Strain;Rep;Count;LogC
1;CONTROL;764;R1;2,40E+07;7,380211242
1;CONTROL;764;R2;3,15E+07;7,498310554
1;CONTROL;764;R3;2,80E+07;7,447158031
1;CONTROL;763;R1;1,21E+08;8,08278537
1;CONTROL;763;R2;1,60E+08;8,204119983
1;CONTROL;763;R3;1,80E+08;8,255272505
1;CONTROL;749;R1;1,74E+07;7,240549248
1;CONTROL;749;R2;1,40E+07;7,146128036
1;CONTROL;749;R3;1,20E+07;7,079181246
1;CONTROL;757;R1;1,10E+07;7,041392685
1;CONTROL;757;R2;2,40E+07;7,380211242
1;CONTROL;757;R3;2,80E+07;7,447158031
3;CONTROL;764;R1;2,76E+07;7,440909082
3;CONTROL;764;R2;4,80E+07;7,681241237
3;CONTROL;764;R3;6,90E+07;7,838849091
3;CONTROL;763;R1;4,90E+08;8,69019608
3;CONTROL;763;R2;5,00E+08;8,698970004
3;CONTROL;763;R3;5,70E+08;8,755874856
3;CONTROL;749;R1;1,40E+07;7,146128036
3;CONTROL;749;R2;4,00E+06;6,602059991
3;CONTROL;749;R3;1,40E+07;7,146128036
3;CONTROL;757;R1;4,10E+07;7,612783857
3;CONTROL;757;R2;9,65E+06;6,984527313
3;CONTROL;757;R3;1,20E+07;7,079181246
6;CONTROL;764;R1;3,60E+07;7,556302501
6;CONTROL;764;R2;4,10E+07;7,612783857
6;CONTROL;764;R3;3,90E+07;7,591064607
6;CONTROL;763;R1;7,90E+08;8,897627091
6;CONTROL;763;R2;6,30E+08;8,799340549
6;CONTROL;763;R3;7,40E+08;8,86923172
6;CONTROL;749;R1;0,00E+00;0
6;CONTROL;749;R2;0,00E+00;0
6;CONTROL;749;R3;0,00E+00;0
6;CONTROL;757;R1;5,30E+06;6,72427587
6;CONTROL;757;R2;6,10E+06;6,785329835
6;CONTROL;757;R3;6,30E+06;6,799340549
9;CONTROL;764;R1;2,70E+07;7,431363764
9;CONTROL;764;R2;3,00E+07;7,477121255
9;CONTROL;764;R3;2,60E+07;7,414973348
9;CONTROL;763;R1;2,30E+08;8,361727836
9;CONTROL;763;R2;1,90E+08;8,278753601
9;CONTROL;763;R3;1,80E+08;8,255272505
9;CONTROL;749;R1;0,00E+00;0
9;CONTROL;749;R2;0,00E+00;0
9;CONTROL;749;R3;0,00E+00;0
9;CONTROL;757;R1;6,00E+06;6,77815125
9;CONTROL;757;R2;7,00E+06;6,84509804
9;CONTROL;757;R3;8,50E+06;6,929418926
12;CONTROL;764;R1;2,00E+07;7,301029996
12;CONTROL;764;R2;3,05E+07;7,484299839
12;CONTROL;764;R3;2,85E+07;7,45484486
12;CONTROL;763;R1;3,10E+08;8,491361694
12;CONTROL;763;R2;3,70E+08;8,568201724
12;CONTROL;763;R3;3,40E+08;8,531478917
12;CONTROL;749;R1;0,00E+00;0
12;CONTROL;749;R2;0,00E+00;0
12;CONTROL;749;R3;0,00E+00;0
12;CONTROL;757;R1;8,00E+06;6,903089987
12;CONTROL;757;R2;7,50E+06;6,875061263
12;CONTROL;757;R3;8,00E+06;6,903089987
14;CONTROL;764;R1;3,10E+07;7,491361694
14;CONTROL;764;R2;2,50E+07;7,397940009
14;CONTROL;764;R3;3,10E+07;7,491361694
14;CONTROL;763;R1;1,40E+08;8,146128036
14;CONTROL;763;R2;1,70E+08;8,230448921
14;CONTROL;763;R3;1,90E+08;8,278753601
14;CONTROL;749;R1;0,00E+00;0
14;CONTROL;749;R2;0,00E+00;0
14;CONTROL;749;R3;0,00E+00;0
14;CONTROL;757;R1;1,60E+06;6,204119983
14;CONTROL;757;R2;1,40E+06;6,146128036
14;CONTROL;757;R3;1,30E+06;6,113943352