;Strain;Day;Total_DEGs;direction;n DEGs
3;D749;Day1;227;Up-regulated;14
4;D749;Day1;227;Down-regulated;-213
7;D749;Day5;336;Up-regulated;131
8;D749;Day5;336;Down-regulated;-205
15;D757;Day1;133;Up-regulated;55
16;D757;Day1;133;Down-regulated;-78
19;D757;Day5;128;Up-regulated;63
20;D757;Day5;128;Down-regulated;-65
27;D763;Day1;22;Up-regulated;17
28;D763;Day1;22;Down-regulated;-5
31;D763;Day5;18;Up-regulated;17
32;D763;Day5;18;Down-regulated;-1
39;D764;Day1;48;Up-regulated;32
40;D764;Day1;48;Down-regulated;-16
43;D764;Day5;88;Up-regulated;37
44;D764;Day5;88;Down-regulated;-51